Add to Cart Browsing,Age Group,Browsing Frequency,Cart Abandonment Factors,Cart Completion Frequency,Gender,Improvement Areas,Personalized Recommendation Frequency,Product Search Method,Purchase Categories,Purchase Frequency,Recommendation Helpfulness,Review Helpfulness,Review Left,Review Reliability,Saveforlater Frequency,Search Result Exploration,Service Appreciation,Timestamp,Age,Customer Reviews Importance,Personalized Recommendation Frequency1,Rating Accuracy,Shopping Satisfaction
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Often,Female,Reducing packaging waste,Yes,Keyword,Beauty and Personal Care,Less than once a month,Sometimes,Yes,Yes,Heavily,Always,Multiple pages,User-friendly website/app interface,2023/06/04 8:02:28 PM GMT+5:30,21,1,5,3,1
Maybe,16-25,Rarely,High shipping costs,Sometimes,Female,Shipping speed and reliability,No,Filter,others,Less than once a month,Sometimes,Yes,No,Heavily,Sometimes,First page,User-friendly website/app interface,2023/06/04 8:20:42 PM GMT+5:30,23,1,3,3,3
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Male,Shipping speed and reliability,Sometimes,Keyword,Clothing and Fashion;others,Few times a month,Sometimes,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/04 8:39:53 PM GMT+5:30,16,1,3,3,2
Maybe,16-25,Few times a month,others,Sometimes,Female,Shipping speed and reliability,No,Keyword,Clothing and Fashion,Less than once a month,Yes,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/04 8:45:45 PM GMT+5:30,21,1,2,2,1
Yes,16-25,Few times a month,High shipping costs,Sometimes,Female,Customer service responsiveness,Sometimes,Keyword,Beauty and Personal Care;Home and Kitchen,Few times a month,Sometimes,Yes,No,Moderately,Rarely,Multiple pages,Wide product selection,2023/06/04 8:46:02 PM GMT+5:30,23,1,2,3,2
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care,Less than once a month,Sometimes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/04 8:48:59 PM GMT+5:30,25,1,4,3,2
No,56-65,Few times a month,Changed my mind or no longer need the item,Often,Male,Reducing packaging waste,No,Keyword,Groceries and Gourmet Food,Once a week,Yes,Yes,No,Occasionally,Never,Multiple pages,Competitive prices,2023/06/04 8:49:49 PM GMT+5:30,64,3,2,1,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,others,Clothing and Fashion,Once a month,Sometimes,Yes,No,Heavily,Sometimes,First page,User-friendly website/app interface,2023/06/04 8:52:49 PM GMT+5:30,23,1,3,3,2
Yes,16-25,Few times a week,others,Never,Male,.,No,others,others,Less than once a month,Sometimes,Sometimes,No,Never,Never,Multiple pages,.,2023/06/04 8:54:36 PM GMT+5:30,21,1,3,3,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Shipping speed and reliability,No,categories,Clothing and Fashion,Less than once a month,Yes,Yes,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/04 9:10:08 PM GMT+5:30,16,2,3,2,2
Maybe,16-25,Few times a month,others,Rarely,Female,Customer service responsiveness,No,Keyword,Beauty and Personal Care;Clothing and Fashion;others,Few times a month,Sometimes,Yes,Yes,Heavily,Rarely,Multiple pages,Competitive prices,2023/06/04 9:10:51 PM GMT+5:30,23,1,3,1,1
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Rarely,Female,Product quality and accuracy,Yes,categories,Groceries and Gourmet Food,Multiple times a week,No,No,Yes,Moderately,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/04 9:18:12 PM GMT+5:30,24,1,2,2,3
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Heavily,Often,Multiple pages,Wide product selection,2023/06/04 9:22:58 PM GMT+5:30,22,1,3,2,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,categories,Beauty and Personal Care,Less than once a month,Yes,Sometimes,No,Occasionally,Rarely,Multiple pages,Wide product selection,2023/06/04 9:29:59 PM GMT+5:30,23,4,3,3,5
Yes,16-25,Few times a week,others,Often,Female,Shipping speed and reliability,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion;others,Few times a month,Sometimes,Yes,No,Heavily,Often,Multiple pages,User-friendly website/app interface,2023/06/04 9:40:54 PM GMT+5:30,23,1,3,2,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,Yes,Keyword,Clothing and Fashion,Less than once a month,Yes,Yes,No,Occasionally,Rarely,Multiple pages,Competitive prices,2023/06/04 9:48:15 PM GMT+5:30,24,4,4,5,4
Yes,16-25,Few times a week,High shipping costs,Often,Female,Product quality and accuracy,No,Keyword,Groceries and Gourmet Food;Clothing and Fashion;others,Few times a month,Sometimes,Yes,Yes,Heavily,Never,Multiple pages,Wide product selection,2023/06/04 10:13:28 PM GMT+5:30,25,5,2,3,4
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Often,Female,Customer service responsiveness,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Less than once a month,No,Yes,No,Heavily,Always,First page,Competitive prices,2023/06/04 10:24:47 PM GMT+5:30,23,5,4,3,4
No,16-25,Rarely,others,Never,Female,Product quality and accuracy,No,others,others,Less than once a month,No,Sometimes,No,Occasionally,Never,First page,Wide product selection,2023/06/04 10:37:00 PM GMT+5:30,23,3,5,3,3
Yes,16-25,Multiple times a day,Found a better price elsewhere,Often,Female,Reducing packaging waste,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Less than once a month,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/04 11:09:27 PM GMT+5:30,23,1,1,2,1
Yes,16-25,Few times a week,Found a better price elsewhere,Often,Male,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,Yes,Yes,Yes,Heavily,Rarely,Multiple pages,Competitive prices,2023/06/04 11:12:15 PM GMT+5:30,23,1,3,1,1
Yes,16-25,Multiple times a day,Found a better price elsewhere,Rarely,Female,Product quality and accuracy,Sometimes,Keyword,others,Less than once a month,Sometimes,Yes,Yes,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/04 11:24:41 PM GMT+5:30,24,1,3,3,1
Yes,16-25,Multiple times a day,Changed my mind or no longer need the item,Always,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Yes,Sometimes,No,Occasionally,Often,First page,Wide product selection,2023/06/04 11:27:53 PM GMT+5:30,24,4,2,2,1
Maybe,16-25,Rarely,Found a better price elsewhere,Often,Female,Reducing packaging waste,Sometimes,categories,Beauty and Personal Care;Home and Kitchen,Less than once a month,Sometimes,Yes,No,Moderately,Rarely,Multiple pages,Wide product selection,2023/06/04 11:38:30 PM GMT+5:30,23,1,2,2,2
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Often,Male,Customer service responsiveness,Sometimes,categories,Clothing and Fashion,Once a month,Yes,Yes,No,Moderately,Often,Multiple pages,Competitive prices,2023/06/04 11:57:10 PM GMT+5:30,29,1,2,2,2
Yes,16-25,Few times a week,Found a better price elsewhere,Always,Female,Shipping speed and reliability,Yes,Keyword,Clothing and Fashion,Few times a month,Yes,Yes,Yes,Rarely,Rarely,Multiple pages,Competitive prices,2023/06/05 12:02:56 AM GMT+5:30,19,5,3,3,5
Yes,26-35,Few times a month,High shipping costs,Sometimes,Female,Product quality and accuracy,Yes,Keyword,others,Less than once a month,Yes,Yes,Yes,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/05 12:05:20 AM GMT+5:30,26,1,1,2,2
No,26-35,Rarely,Changed my mind or no longer need the item,Always,Male,Nothing,No,Keyword,others,Less than once a month,No,Yes,No,Moderately,Never,First page,Customer service,2023/06/05 12:36:02 AM GMT+5:30,32,1,1,4,1
Yes,26-35,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,Filter,Home and Kitchen,Once a month,No,Yes,Yes,Moderately,Often,Multiple pages,User-friendly website/app interface,2023/06/05 12:37:54 AM GMT+5:30,30,2,1,4,1
Yes,16-25,Few times a month,Found a better price elsewhere,Rarely,Female,Product quality and accuracy,No,others,Beauty and Personal Care;others,Less than once a month,Yes,Sometimes,No,Moderately,Often,Multiple pages,User-friendly website/app interface,2023/06/05 12:39:14 AM GMT+5:30,22,1,5,3,2
Yes,26-35,Multiple times a day,High shipping costs,Sometimes,Female,Shipping speed and reliability,Yes,categories,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,No,Yes,Moderately,Never,Multiple pages,User-friendly website/app interface,2023/06/05 12:57:05 AM GMT+5:30,26,1,2,2,2
Yes,16-25,Few times a week,High shipping costs,Always,Female,Customer service responsiveness,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/05 2:56:10 AM GMT+5:30,24,1,1,1,1
Yes,16-25,Few times a month,High shipping costs,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Yes,Yes,No,Heavily,Always,Multiple pages,Wide product selection,2023/06/05 4:26:25 AM GMT+5:30,23,5,4,4,4
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Rarely,Female,Product quality and accuracy,Sometimes,Filter,Clothing and Fashion,Less than once a month,Sometimes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/05 7:16:40 AM GMT+5:30,24,3,3,3,3
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,Keyword,others,Few times a month,Sometimes,Yes,No,Heavily,Always,Multiple pages,Wide product selection,2023/06/05 8:43:26 AM GMT+5:30,23,1,4,3,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Always,Male,Product quality and accuracy,No,Keyword,Clothing and Fashion,Few times a month,Yes,Yes,No,Heavily,Often,Multiple pages,User-friendly website/app interface,2023/06/05 9:20:17 AM GMT+5:30,24,1,1,1,2
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Rarely,Female,Customer service responsiveness,No,Keyword,Beauty and Personal Care;Home and Kitchen,Once a month,No,Yes,No,Heavily,Never,Multiple pages,Competitive prices,2023/06/05 9:56:58 AM GMT+5:30,23,1,5,4,3
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Often,Male,Product quality and accuracy,Sometimes,Keyword,others,Less than once a month,Sometimes,Yes,Yes,Heavily,Often,First page,Wide product selection,2023/06/05 10:36:38 AM GMT+5:30,25,4,3,3,3
Yes,16-25,Few times a month,Found a better price elsewhere,Often,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,No,Heavily,Rarely,Multiple pages,User-friendly website/app interface,2023/06/05 10:37:36 AM GMT+5:30,24,1,1,2,2
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Rarely,Female,Reducing packaging waste,No,Keyword,Home and Kitchen,Few times a month,Sometimes,Yes,Yes,Heavily,Often,First page,User-friendly website/app interface,2023/06/05 10:53:16 AM GMT+5:30,21,1,1,3,1
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Rarely,Female,Reducing packaging waste,No,Keyword,Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Moderately,Never,Multiple pages,Wide product selection,2023/06/05 11:20:41 AM GMT+5:30,23,1,3,3,3
Maybe,26-35,Rarely,High shipping costs,Sometimes,Female,Shipping speed and reliability,No,Filter,Beauty and Personal Care;Home and Kitchen,Less than once a month,Yes,Yes,Yes,Heavily,Sometimes,Multiple pages,Product recommendations,2023/06/05 11:54:52 AM GMT+5:30,26,1,4,2,2
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Clothing and Fashion;others,Few times a month,Sometimes,Yes,Yes,Moderately,Sometimes,First page,Wide product selection,2023/06/05 1:10:59 PM GMT+5:30,23,1,1,3,2
Yes,16-25,Few times a month,High shipping costs,Sometimes,Female,Reducing packaging waste,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,No,Yes,Yes,Heavily,Sometimes,Multiple pages,Product recommendations,2023/06/05 1:27:08 PM GMT+5:30,23,4,3,3,3
Yes,36-45,Few times a week,Changed my mind or no longer need the item,Often,Male,Reducing packaging waste,No,Keyword,Beauty and Personal Care;Home and Kitchen,Few times a month,Sometimes,Yes,Yes,Heavily,Never,Multiple pages,Competitive prices,2023/06/05 1:28:44 PM GMT+5:30,40,1,4,2,1
Maybe,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,Sometimes,categories,Beauty and Personal Care,Once a month,Sometimes,Sometimes,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/05 1:32:57 PM GMT+5:30,25,5,3,3,3
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Shipping speed and reliability,Sometimes,Keyword,others,Once a month,Sometimes,Sometimes,Yes,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/05 1:35:41 PM GMT+5:30,24,4,4,1,2
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Less than once a month,Sometimes,Sometimes,Yes,Rarely,Sometimes,First page,User-friendly website/app interface,2023/06/05 1:35:44 PM GMT+5:30,23,4,3,3,3
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Male,Shipping speed and reliability,Sometimes,Keyword,others,Less than once a month,Yes,Yes,Yes,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/05 1:37:01 PM GMT+5:30,24,1,2,3,2
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Never,Male,Product quality and accuracy,No,categories,others,Less than once a month,Sometimes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/05 1:43:00 PM GMT+5:30,24,1,3,3,3
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Sometimes,No,Occasionally,Sometimes,First page,Product recommendations,2023/06/05 1:45:30 PM GMT+5:30,24,3,3,3,3
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Often,Male,Product quality and accuracy,No,Keyword,others,Few times a month,Yes,Yes,Yes,Occasionally,Rarely,Multiple pages,Competitive prices,2023/06/05 1:54:28 PM GMT+5:30,26,4,3,3,4
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,Sometimes,categories,Beauty and Personal Care;Home and Kitchen;others,Few times a month,Sometimes,Yes,No,Heavily,Often,First page,Wide product selection,2023/06/05 2:10:33 PM GMT+5:30,23,1,2,3,3
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Sometimes,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/05 2:16:16 PM GMT+5:30,23,1,3,3,1
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,Sometimes,Keyword,others,Once a month,Yes,Yes,Yes,Occasionally,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/05 2:17:45 PM GMT+5:30,24,1,3,3,2
Maybe,16-25,Few times a month,High shipping costs,Rarely,Male,better app interface and lower shipping charges,No,Keyword,others,Less than once a month,Sometimes,Sometimes,No,Moderately,Never,First page,Wide product selection,2023/06/05 2:21:37 PM GMT+5:30,23,1,3,3,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Often,Female,Product quality and accuracy,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/05 2:24:22 PM GMT+5:30,24,1,1,2,2
Yes,36-45,Multiple times a day,Changed my mind or no longer need the item,Often,Female,Shipping speed and reliability,Sometimes,Keyword,Home and Kitchen;others,Once a month,Sometimes,No,Yes,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/05 2:25:28 PM GMT+5:30,36,5,2,3,1
Yes,26-35,Rarely,Found a better price elsewhere,Sometimes,Male,Product quality and accuracy,No,Filter,Home and Kitchen,Less than once a month,Yes,Yes,Yes,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/05 2:28:10 PM GMT+5:30,26,1,1,2,1
Yes,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Male,Reducing packaging waste,No,Keyword,Home and Kitchen;others,Once a month,Sometimes,Yes,No,Heavily,Often,First page,Customer service,2023/06/05 2:46:25 PM GMT+5:30,31,1,4,3,1
Maybe,16-25,Rarely,Found a better price elsewhere,Often,Male,Reducing packaging waste,No,categories,others,Less than once a month,No,Yes,No,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/05 3:28:01 PM GMT+5:30,23,1,2,3,2
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Home and Kitchen,Less than once a month,Yes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/05 4:46:52 PM GMT+5:30,23,1,3,2,2
Yes,26-35,Few times a week,Found a better price elsewhere,Often,Male,Customer service responsiveness,Yes,Filter,Groceries and Gourmet Food;Home and Kitchen,Once a week,Yes,Yes,Yes,Moderately,Always,Multiple pages,Product recommendations,2023/06/05 4:49:43 PM GMT+5:30,30,4,4,4,4
Yes,16-25,Rarely,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,categories,others,Less than once a month,Sometimes,Yes,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/05 4:50:33 PM GMT+5:30,24,2,2,2,2
Maybe,46-55,Rarely,Changed my mind or no longer need the item,Never,Prefer not to say,Shipping speed and reliability,Sometimes,others,others,Less than once a month,No,Sometimes,No,Never,Never,First page,User-friendly website/app interface,2023/06/05 4:50:44 PM GMT+5:30,47,2,2,2,2
Yes,46-55,Multiple times a day,others,Always,Others,Shipping speed and reliability,Yes,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Competitive prices,2023/06/05 4:52:12 PM GMT+5:30,54,4,5,5,5
Yes,56-65,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Reducing packaging waste,No,Keyword,Clothing and Fashion;others,Once a month,No,No,No,Never,Never,Multiple pages,Competitive prices,2023/06/05 6:49:25 PM GMT+5:30,58,5,4,3,3
No,46-55,Few times a week,Changed my mind or no longer need the item,Rarely,Female,Reducing packaging waste,No,Keyword,Home and Kitchen,Less than once a month,Yes,Yes,No,Moderately,Never,Multiple pages,Competitive prices,2023/06/05 7:04:21 PM GMT+5:30,53,3,2,2,1
Maybe,16-25,Multiple times a day,Found a better price elsewhere,Sometimes,Prefer not to say,Reducing packaging waste,No,categories,Beauty and Personal Care,Once a week,Sometimes,Sometimes,Yes,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/05 8:06:04 PM GMT+5:30,23,5,3,3,3
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Never,Others,Customer service responsiveness,Yes,Filter,Groceries and Gourmet Food;Clothing and Fashion,Few times a month,Sometimes,Sometimes,Yes,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/05 8:07:52 PM GMT+5:30,25,5,4,3,3
Maybe,16-25,Rarely,Found a better price elsewhere,Rarely,Female,Shipping speed and reliability,No,categories,Beauty and Personal Care,Less than once a month,Sometimes,Yes,No,Occasionally,Rarely,Multiple pages,User-friendly website/app interface,2023/06/05 8:44:09 PM GMT+5:30,23,1,2,3,2
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Rarely,Male,Customer service responsiveness,Sometimes,categories,Clothing and Fashion;Home and Kitchen,Less than once a month,Sometimes,Sometimes,No,Moderately,Rarely,First page,User-friendly website/app interface,2023/06/05 8:46:09 PM GMT+5:30,32,4,4,4,4
Yes,26-35,Few times a week,others,Often,Prefer not to say,Product quality and accuracy,Yes,Filter,Beauty and Personal Care;Clothing and Fashion,Few times a month,Sometimes,Yes,Yes,Heavily,Always,Multiple pages,Competitive prices,2023/06/05 8:47:42 PM GMT+5:30,30,5,5,5,3
No,26-35,Few times a month,High shipping costs,Never,Others,Shipping speed and reliability,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,No,No,Yes,Occasionally,Never,Multiple pages,Competitive prices,2023/06/05 8:49:12 PM GMT+5:30,28,3,4,4,3
No,16-25,Multiple times a day,Found a better price elsewhere,Often,Female,Reducing packaging waste,No,categories,Beauty and Personal Care;Clothing and Fashion,Multiple times a week,No,Sometimes,No,Occasionally,Often,First page,Competitive prices,2023/06/05 8:50:24 PM GMT+5:30,20,1,3,3,3
Maybe,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Male,Product quality and accuracy,No,others,others,Few times a month,Sometimes,Sometimes,No,Moderately,Never,Multiple pages,Wide product selection,2023/06/05 8:52:01 PM GMT+5:30,25,1,2,2,3
Yes,46-55,Multiple times a day,High shipping costs,Sometimes,Others,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food,Few times a month,Yes,Yes,Yes,Rarely,Often,Multiple pages,Product recommendations,2023/06/05 9:56:02 PM GMT+5:30,55,3,4,3,3
Yes,16-25,Few times a week,High shipping costs,Rarely,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Home and Kitchen;others,Once a month,Sometimes,Yes,Yes,Moderately,Always,Multiple pages,Wide product selection,2023/06/05 9:56:08 PM GMT+5:30,24,2,4,3,4
Maybe,56-65,Rarely,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,Sometimes,Filter,Beauty and Personal Care,Less than once a month,Yes,Sometimes,No,Never,Often,Multiple pages,User-friendly website/app interface,2023/06/05 9:58:17 PM GMT+5:30,62,3,5,4,3
No,26-35,Rarely,others,Never,Male,Customer service responsiveness,No,others,others,Less than once a month,No,No,No,Never,Never,First page,Competitive prices,2023/06/05 10:04:32 PM GMT+5:30,27,4,5,5,5
Maybe,26-35,Few times a month,Found a better price elsewhere,Sometimes,Prefer not to say,Product quality and accuracy,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,No,No,Occasionally,Rarely,First page,Wide product selection,2023/06/05 10:05:25 PM GMT+5:30,34,3,4,2,2
Maybe,36-45,Few times a week,Found a better price elsewhere,Often,Female,Shipping speed and reliability,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a week,No,Sometimes,Yes,Occasionally,Often,Multiple pages,Competitive prices,2023/06/05 10:06:15 PM GMT+5:30,40,2,2,2,2
Maybe,16-25,Few times a month,Found a better price elsewhere,Often,Others,Reducing packaging waste,Yes,categories,others,Less than once a month,No,No,Yes,Rarely,Rarely,Multiple pages,User-friendly website/app interface,2023/06/05 10:06:46 PM GMT+5:30,22,4,3,3,4
